team,american
Spanien,450
Frankrig,500
England,700
Portugal,800
Argentina,900
Brasilien,900
Tyskland,1400
Holland,2000
Belgien,3300
Norge,3300
Colombia,4000
Marokko,4000
Japan,5000
USA,5000
Mexico,6600
Senegal,6600
Schweiz,6600
Tyrkiet,6600
Uruguay,6600
Kroatien,8000
Ecuador,8000
Sverige,10000
Østrig,15000
Canada,15000
Elfenbenskysten,20000
Algeriet,25000
Bosnien-Hercegovina,25000
Tjekkiet,25000
Egypten,25000
Sydkorea,25000
Paraguay,25000
Skotland,25000
Australien,50000
Ghana,50000
Iran,50000
Tunesien,50000
Congo DR,75000
Kap Verde,100000
Irak,100000
Jordan,100000
New Zealand,100000
Panama,100000
Qatar,100000
Saudi-Arabien,100000
Sydafrika,100000
Usbekistan,100000
Curaçao,250000
Haiti,250000
